latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,year,month,day,hours,minutes,vehicle_type_code1_big_trucks,vehicle_type_code1_bike,vehicle_type_code1_car,vehicle_type_code1_motorbike,vehicle_type_code1_public vehicles,vehicle_type_code1_service vehicles,vehicle_type_code1_van,vehicle_type_code1_vehicle-attachment,vehicle_type_code2_big_trucks,vehicle_type_code2_bike,vehicle_type_code2_car,vehicle_type_code2_motorbike,vehicle_type_code2_public vehicles,vehicle_type_code2_service vehicles,vehicle_type_code2_van,vehicle_type_code2_vehicle-attachment,vehicle_type_code_3_big_trucks,vehicle_type_code_3_bike,vehicle_type_code_3_car,vehicle_type_code_3_motorbike,vehicle_type_code_3_public vehicles,vehicle_type_code_3_service vehicles,vehicle_type_code_3_van,vehicle_type_code_3_vehicle-attachment
40.685963,-73.85654,0,0,0,0,0,0,0,0,following too closely,pavement slippery,pavement slippery,,,2017,5,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.733963,-73.988785,1,0,0,0,0,0,1,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,30,16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40.858723,-73.83344,0,0,0,0,0,0,0,0,unsafe speed,unspecified,unspecified,unspecified,,2017,4,14,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.664745,-73.74003,0,0,0,0,0,0,0,0,alcohol involvement,unspecified,unspecified,,,2017,4,25,16,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.798256,-73.82744,6,0,0,0,0,0,6,0,reaction to uninvolved vehicle,following too closely,following too closely,unspecified,,2017,4,29,15,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.8905,-73.831154,5,0,0,0,0,0,5,0,other vehicular,failure to yield right-of-way,other vehicular,,,2017,4,16,10,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.604153,-74.05198,2,0,0,0,0,0,2,0,following too closely,following too closely,unspecified,,,2017,4,15,13,48,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.636425,-74.00501,0,0,0,0,0,0,0,0,unspecified,unspecified,unspecified,,,2017,4,23,11,57,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.70817,-73.81535,0,0,0,0,0,0,0,0,reaction to uninvolved vehicle,unspecified,unspecified,unspecified,,2017,4,20,12,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.758224,-73.91741,1,0,0,0,1,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,22,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
40.8541,-73.919106,1,0,0,0,0,0,1,0,unsafe lane changing,unspecified,unspecified,,,2017,5,4,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
40.808277,-73.9388,2,0,0,0,0,0,2,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,2,23,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.700703,-73.752,2,0,0,0,0,0,2,0,driver inexperience,driver inattention/distraction,unspecified,unspecified,,2017,4,23,22,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.779495,-73.9535,0,0,0,0,0,0,0,0,driver inexperience,unspecified,unspecified,,,2017,5,8,18,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.638878,-74.00605,0,0,0,0,0,0,0,0,driver inexperience,unspecified,unspecified,,,2017,5,1,20,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.754387,-73.89653,2,0,0,0,0,0,2,0,alcohol involvement,unspecified,unspecified,unspecified,unspecified,2017,4,24,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40.671535,-73.957664,0,0,0,0,0,0,0,0,unspecified,unspecified,unspecified,,,2017,5,7,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.64406,-73.99349,3,0,0,0,0,0,3,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,8,13,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.78849,-73.78973,1,0,0,0,0,0,1,0,following too closely,unspecified,unspecified,,,2017,4,24,14,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.599052,-74.1627,0,0,0,0,0,0,0,0,view obstructed/limited,unspecified,unspecified,,,2017,5,5,11,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
40.72586,-73.90017,1,0,0,0,0,0,1,0,aggressive driving/road rage,unspecified,unspecified,,,2017,5,3,22,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40.70313,-73.816795,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,unspecified,,2017,4,19,18,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.76241,-73.95443,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,unspecified,,2017,4,20,17,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.60356,-73.95022,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,2,16,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
,,1,0,0,0,0,0,1,0,driver inattention/distraction,driver inattention/distraction,unspecified,,,2017,4,25,22,55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
40.70052,-74.01551,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,,,2017,4,25,20,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.629208,-73.90126,0,0,0,0,0,0,0,0,failure to yield right-of-way,unsafe speed,unspecified,unspecified,unspecified,2017,4,22,8,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
,,0,0,0,0,0,0,0,0,unsafe lane changing,unspecified,unspecified,,,2017,4,28,17,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.80582,-73.90926,1,0,0,0,0,0,1,0,driver inattention/distraction,following too closely,pavement slippery,unspecified,,2017,4,20,7,55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40.676598,-73.795944,0,0,0,0,0,0,0,0,failure to yield right-of-way,unspecified,unspecified,,,2017,4,20,8,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.666893,-73.80546,3,0,0,0,0,0,3,0,reaction to uninvolved vehicle,following too closely,following too closely,,,2017,5,3,11,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.65821,-73.91586,0,0,0,0,0,0,0,0,view obstructed/limited,unspecified,unspecified,unspecified,unspecified,2017,4,28,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.687553,-73.910675,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,27,21,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.604153,-74.05198,2,0,0,0,0,0,2,0,following too closely,unspecified,unspecified,,,2017,4,30,14,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.641884,-73.98686,0,0,0,0,0,0,0,0,unspecified,unspecified,unspecified,,,2017,4,24,14,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.73632,-73.85631,7,0,0,0,0,0,7,0,following too closely,following too closely,unspecified,,,2019,6,23,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.62571,-73.92956,0,0,0,0,0,0,0,0,unsafe speed,unspecified,unspecified,unspecified,,2017,4,27,13,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.728584,-73.7446,0,0,0,0,0,0,0,0,failure to yield right-of-way,unspecified,unspecified,,,2017,4,18,18,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.685837,-73.82686,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,30,4,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.689144,-73.99071,0,0,0,0,0,0,0,0,passing or lane usage improper,passing or lane usage improper,unspecified,,,2017,5,4,14,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.741398,-73.850494,0,0,0,0,0,0,0,0,unsafe speed,unspecified,unspecified,unspecified,,2017,5,5,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.89989,-73.89553,2,0,0,0,0,0,2,0,following too closely,unspecified,unspecified,,,2017,4,20,6,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.75361,-73.99474,0,0,0,0,0,0,0,0,passing too closely,unspecified,unspecified,,,2017,4,27,18,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40.643246,-73.94877,0,0,0,0,0,0,0,0,traffic control disregarded,unspecified,unspecified,,,2017,4,15,0,27,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.873222,-73.83747,1,0,0,0,0,0,1,0,unsafe speed,unspecified,unspecified,unspecified,,2017,4,16,20,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.700665,-74.01542,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,30,14,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.756683,-73.85793,0,0,0,0,0,0,0,0,alcohol involvement,unspecified,unspecified,,,2017,5,8,23,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
40.678593,-73.75436,1,0,0,0,0,0,1,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,7,2,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.678387,-74.00247,1,0,0,0,0,0,1,0,driver inattention/distraction,driver inattention/distraction,unspecified,,,2017,4,16,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.75369,-73.92439,1,0,0,0,0,0,1,0,unsafe speed,unspecified,unspecified,,,2017,5,3,12,55,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,,3,0,0,0,3,0,0,0,driver inexperience,driver inexperience,unspecified,,,2017,4,29,15,45,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40.667778,-73.80127,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,19,18,55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.637405,-73.982475,0,0,0,0,0,0,0,0,unsafe speed,unsafe speed,unspecified,unspecified,unspecified,2017,4,27,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.608757,-74.038086,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,unspecified,unspecified,2017,4,28,15,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.824696,-73.83919,1,0,0,0,0,0,1,0,driver inattention/distraction,driver inattention/distraction,unspecified,,,2017,5,5,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.79801,-73.827065,3,0,0,0,0,0,3,0,unspecified,unspecified,unspecified,unspecified,,2017,4,29,10,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.70165,-73.99149,0,0,0,0,0,0,0,0,following too closely,following too closely,following too closely,unspecified,,2017,4,26,6,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.735664,-73.8457,0,0,0,0,0,0,0,0,traffic control disregarded,unspecified,unspecified,,,2017,4,20,15,42,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40.665268,-73.827705,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,unspecified,unspecified,2017,4,29,20,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.769703,-73.914,1,0,0,0,0,0,1,0,other vehicular,outside car distraction,outside car distraction,unspecified,,2017,4,26,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.594524,-73.93401,1,0,0,0,0,0,1,0,unspecified,unspecified,unspecified,unspecified,unspecified,2017,5,4,7,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.719025,-73.98978,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,7,19,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.74825,-73.81929,0,0,0,0,0,0,0,0,alcohol involvement,unspecified,unspecified,unspecified,,2017,4,17,0,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.700516,-73.89838,0,0,0,0,0,0,0,0,unspecified,unspecified,unspecified,,,2017,4,22,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.72865,-73.81516,0,0,0,0,0,0,0,0,alcohol involvement,unspecified,unspecified,unspecified,unspecified,2017,5,6,23,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.678978,-73.98501,0,0,0,0,0,0,0,0,traffic control device improper/non-working,passing too closely,unspecified,,,2017,4,27,11,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.68167,-73.83781,0,0,0,0,0,0,0,0,traffic control disregarded,unspecified,unspecified,,,2017,4,23,2,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.697617,-73.82858,1,0,0,0,0,0,1,0,unsafe speed,unspecified,unspecified,,,2017,4,17,19,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
40.698032,-73.79599,0,0,0,0,0,0,0,0,fell asleep,unspecified,unspecified,,,2017,5,7,4,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.667713,-73.77792,2,0,0,0,0,0,2,0,unspecified,unspecified,unspecified,,,2017,4,27,18,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
40.756096,-73.74655,0,0,0,0,0,0,0,0,following too closely,following too closely,driver inattention/distraction,unspecified,unspecified,2017,4,17,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
